Name,Surname,Email,Institution,Country
Amin,Alipour (Co-chair),,University of Houston,United States
Lin,Deng,,Towson University,United States
Alex,Denisov,,,
Gordon,Fraser,,University of Passau,Germany
Sudipto,Ghosh,,Colorado State University,United States
Rahul,Gopinath,,CISPA,Germany
Alex,Groce,,Northern Arizona University,United States
Giovani,Guizzo,,University College London,United Kingdom
Jinhan,Kim,,KAIST,South Korea
Birgitta,Lindström,,University of Skövde,Sweden
Jie M.,Zhang (Co-chair),,University College London,United Kingdom
Mike,Papadakis,,University of Luxembourg,Luxembourg
Goran,Petrovic,,Google
José,Miguel Rojas,,University of Leicester,United Kingdom
Donghwan,Shin,,University of Luxembourg,Luxembourg
Thierry Titcheu,Chekam,,University of Luxembourg (SnT),Luxembourg
Yiling Lou,,Peking University
